1A,Sovereign Military Order of Malta
1B,Cyprus
1S,Spratly Is
2E,England
2D,Isle Of Man
2I,Northern Ireland
2J,Jersey
2M,Scotland
2U,Guernsey
2W,Wales
3A,Monaco
3B6,Agalega
3B7,Agalega
3B8,Mauritius
3B9,Rodriguez Is
3C,Equatorial Guinea
3C0,Annobon
3D2,Conway Reef
3D2,Fiji Is
3D2,Rotuma
3D2/C,Conway Reef
3D2/F,Fiji Islands
3D2/R,Rotuma
3D6,Swaziland
3DA0,Swaziland
3G,Chile
3V,Tunisia
3W,Vietnam
3X,Guinea
3Y,Bouvet Is
3Y,Peter Is
3Y/B,Bouvet
3Y/P,Peter Is
3Z,Poland
4A,Mexico
4B,Mexico
4C,Mexico
4D,Philippines
4F,Philippines
4I,Philippines
4J,Azerbaijan
4J1,Malyj Vysotskij
4K,Russian Polar Sta
4L,Georgia
4M,Venezuela
4N1,Yugoslavia
4N4,Bosnia Herzegovina
4N5,Macedonia
4N6,Yugoslavia
4N7,Yugoslavia
4N8,Yugoslavia
4N9,Yugoslavia
4N0,Yugoslavia
4O1,Yugoslavia
4O4,Bosnia Herzegovina
4O5,Macedonia
4O6,Yugoslavia
4O7,Yugoslavia
4O8,Yugoslavia
409,Yugoslavia
400,Yugoslavia
4P,Sri Lanka
4Q,Sri Lanka
4R,Sri Lanka
4S,Sri Lanka
4T,Peru
4U,I.T.U. Geneva
4U,U.N. N.Y.
4U1VIC, Vienna International Congress Center
4V,Haiti
4W,Yemen
4X,Israel
4Z,Israel
5A,Libya
5B,Cyprus
5C,Morocco
5D,Morocco
5H,Tanzania
5I,Tanzania
5J,Columbia
5K,Columbia
5L,Liberia
5N,Nigeria
5O,Nigeria
5R,Malagasy Rep 
5S,Malagasy Rep
5T,Mauritania
5U,Niger
5V,Togo
5W,Western Samoa
5X,Uganda
5Y,Kenya
5Z,Kenya
6D,Mexico
6E,Mexico
6G,Mexico
6I,Mexico
6K,South Korea
6O,Somalia
6T,Sudan
6V,Senegal
6W,Senegal
6Y,Jamaica
7J,Japan
7K,Japan
7L,Japan
7M,Japan
7N,Japan
7O,Yemen Peo Rep
7P,Lesotho
7Q,Malawi
7S,Sweden
7T,Algeria
7U, Algeria
7V,Algeria
7W,Algeria
7X,Algeria
7Y,Algeria
7Z,Saudi Arabia
8A,Indonesia
8B,Indonesia
8C,Indonesia
8D,Indonesia
8E,Indonesia
8F,Indonesia
8G,Indonesia
8H,Indonesia
8I,Indonesia
8J,Japan
8O,Botswana
8P,Barbados
8Q,Maldive Is
8R,Guyana
8S,Sweden
8T,India
8T4,Andaman Is
8T7,Laccadive Is
8U,India
8U4,Andaman Is
8U7,Laccadive Is
8V,India
8V4,Andaman Is
8V7,Laccadive Is
8W,India
8W4,Andaman Is
8W7,Laccadive Is
8Z,Saudi Arabia
9A,Croatia
9D,Iran
9E,Ethiopia
9F,Ethiopia
9G,Ghana
9H,Malta
9I,Zambia
9J,Zambia
9K,Kuwait
9L,Sierra Leone
9M0,Spratly Is
9M2,West Malaysia
9M4,West Malaysia
9M6,East Malaysia
9M8,East Malaysia
9N,Nepal
9Q,Zaire
9R,Zaire
9S ,Zaire
9T,Zaire 
9U,Burundi
9V,Singapore
9X,Rwanda
9Y,Trinidad
9Z,Trinidad
A15,Abu Ail
A2,Botswana
A3,Tonga
A4,Oman
A5,Bhutan
A51,Bhutan
A6,United Arab Emirites
A7,Qatar
A8,Liberia
A9,Bahrain
AA,United States of America
AB,United States of America
AC,United States of America
AD,United States of America
AE,United States of America
AF,United States of America
AG,United States of America
AH,United States of America
AI,United States of America
AJ,United States of America
AK,United States of America
AC6,West Carolines
AH0,Mariana Is
AH1,Baker Howland
AH2,Guam
AH3,Johnston Is
AH4,Midway Is
AH5,Palmyra Is
AH5K,Kingman Reef
AH6,Hawaii
AH7K,Kure Is
AH8,American Samoa
AH9,Wake Is
AL,Alaska
AM,Spain
AM6,Balearic Is
AM8,Canary Is
AM9,Ceuta-Melilla
AN,Spain
AN6,Balearic Is
AN8,Canary Is
AN9,Ceuta-Melilla
AO,Spain
AO6,Balearic Is
AO8,Canary Is
AO9,Ceuta-Melilla
AP,Pakistan
AQ,Pakistan
AR,Pakistan
AS,Pakistan
AT,India
AT4,Andaman Is
AT7,Laccadive Is
AU,India
AU4,Andaman Is
AU7,Laccadive Is
AV,India
AV4,Andaman Is
AV7,Laccadive Is
AW,India
AW4,Andaman Is
AW7,Laccadive Is
AX,Australia
AY,Argentina
AZ,Argentina
BA-BU,China
BV,Taiwan
BO1,Taiwan
BO2,Taiwan
BO2,Taiwan
BV0,Taiwan
BV1,Taiwan
BV9,Taiwan
BV9A,Taiwan
BV9O,Taiwan
BV9G,Taiwan
BV9P,Taiwan
BW,China
BX,China
BY,China
BZ,China
C2,Nauru
C3,Andorra
C4,Cyprus
C5,Gambia
C6,Bahamas
C8,Mozambique
C9,Mozambique
CA,Chile
CB,Chile
CC,Chile
CD,Chile
CE1,Chile
CE2,Chile
CE3,Chile
CE4,Chile
CE5,Chile
CE6,Chile
CE7,Chile
CE8,Chile
CE9,Antarctica
CE0A,Easter Island
CE0E,Easter Island
CE0F,Easter Island
CE0I,Juan Fernandez 
CE0X,San Felix
CE0Y,Easter Island
CE0Z,Juan Fernandez
CF,Canada
CG,Canada
CH,Canada
CI,Canada
CJ,Canada
CK,Canada
CL,Cuba
CM,Cuba
CN,Morocco
CO,Cuba
CP,Bolivia
CQ,Portugal
CQ3,Madeira Is
CQ9,Madeira Is
CR,Portugal
CR3,Madeira Is
CR9,Madeira Is
CS,Portugal
CT,Portugal
CT2,Azores
CT3,Madeira Is
CT9,Madeira Is
CU,Azores Is
CV,Uruguay
CW,Uruguay
CX,Uruguay 
CY,Canada
CY0,Sable Is
CY9,St Paul Is
CZ,Canada
D2,Angola
D3,Angola
D4,Cape Verde
D6,Comoros
D7,South Korea
D8,South Korea
D9,South Korea
DA,Germany
DB,Germany
DC,Germany
DD,Germany
DE,Germany
DF,Germany
DF0,Germany
DG,Germany
DH,Germany 
DI,Germany
DJ,Germany
DK,Germany
DK, Germany
DL,Germany
DM,Germany
DN,Germany
DO,Germany
DP,Germany
DQ,Germany
DR,Germany
DS,South Korea
DT,South Korea
DU,Philippines
DV,Philippines 
DX,Philippines 
DY,Philippines
DZ,Philippines
E2,Thailand
E3,Eritrea
E4,Palestine
E5,South Cook Islands
E5,North Cook Islands
EA,Spain
EA6,Balearic Is
EA8,Canary Is
EA9,Ceuta
EB,Spain
EB6,Balearic Is
EB8,Canary Is
EB9,Ceuta
EC,Spain
EC6,Balearic Is
EC8,Canary Is
EC9,Ceuta
EC9,Melilla
ED,Spain
ED6,Balearic Is
ED8,Canary Is
ED9,Ceuta
ED9,Melilla
EE,Spain
EE6,Balearic Is
EE8,Canary Is
EE9,Ceuta
EF,Spain
EF6,Balearic Is
EF8,Canary Is
EF9,Ceuta
EG,Spain
EG6,Balearic Is
EG8,Canary Is
EG9,Ceuta
EH,Spain
EH6,Balearic Is
EH8,Canary Is
EH9,Ceuta
EI,Ireland
EJ,Ireland
EK,Armenia
EL,Liberia
EM,Ukraine
EN,Ukraine
EO,Ukraine
EP,Iran
EQ,Iran
ER,Moldova
ES,Estonia
ET,Ethiopia
EU,Belarus
EV,Belarus
EW,Belarus
EX,Kyrgyzstan
EY,Tadjikistan
EZ,Turkmenistan
F,France
FB,France
FC,Corsica
FD,France
FE,France
FF,France
FG,Guadeloupe
FH,Mayotte
FJ,St Martin
FK,New Caledonia
FM,Martinique
FO,Clipperton
FO,Tahiti
FO/C,Clipperton
FP,St Pierre Miquelon
FR,Glorioso
FR,Juan De Nova
FR,Reunion
FR,Tromelin
FR/G,Glorioso
FR/J,Juan De Nova
FR/T,Tromelin
FS,St Martin
FT0W,Crozet
FT0X,Kerguelen Is
FT0Z,Amsterdam Paul
FT2W,Crozet
FT2X,Kerguelen Is
FT2Z,Amsterdam Paul
FT5W,Crozet
FT5X,Kerguelen Is
FT5Z,Amsterdam Paul
FT8W,Crozet
FT8X,Kerguelen Is
FT8Y,Antarctica
FT8Z,Amsterdam Paul
FU,France
FV,France
FW,Wallis Is
FY,French Guiana
G,England
GB,England
GC,Wales
GD,Isle of Man
GH,Jersey
GI,Northern Ireland
GJ,Jersey
GM,Scotland
GN,Northern Ireland
GP,Guernsey
GS,Scotland
GT,Isle Of Man
GU,Guernsey
GW,Wales
GX,England
H2,Cyprus
H3,Panama
H4,Solomon Is
H5,So Africa
H6,Nicaragua
H7,Nicaragua
H8,Panama
H9,Panama
HA,Hungary
HB,Switzerland
HB0,Liechtenstein
HC,Ecuador
HC8,Galapagos
HD,Ecuador
HD8,Galapagos
